qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
Unigene0000202	DF241870.1	100.000	31	0	0	1817	1847	19891	19921	3.45e-06	58.4	DF241870.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold2865.1, whole genome shotgun sequence
Unigene0000323	DF242284.1	100.000	30	0	0	1	30	19706	19735	9.37e-06	56.5	DF242284.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold3180.1, whole genome shotgun sequence
Unigene0002193	DF246178.1	100.000	34	0	0	8714	8747	1096	1129	3.33e-07	63.9	DF246178.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold7297.1, whole genome shotgun sequence
Unigene0002607	DF241760.1	100.000	29	0	0	348	376	125816	125844	7.74e-06	54.7	DF241760.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold2756.1, whole genome shotgun sequence
Unigene0005353	DF239746.1	100.000	32	0	0	180	211	15313	15344	2.74e-07	60.2	DF239746.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold714.1, whole genome shotgun sequence
Unigene0008342	DF242510.1	100.000	30	0	0	920	949	40465	40436	8.85e-06	56.5	DF242510.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold3509.1, whole genome shotgun sequence
Unigene0009774	DF240351.1	100.000	37	0	0	1223	1259	25694	25658	1.30e-09	69.4	DF240351.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold1341.1, whole genome shotgun sequence
Unigene0009807	DF239671.1	100.000	37	0	0	911	947	75434	75470	1.32e-09	69.4	DF239671.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold619.1, whole genome shotgun sequence
Unigene0009982	DF241479.1	100.000	36	0	0	879	914	109638	109673	3.20e-09	67.6	DF241479.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold2452.1, whole genome shotgun sequence
Unigene0010019	DF240014.1	100.000	52	0	0	2097	2148	76904	76955	7.55e-18	97.1	DF240014.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold994.1, whole genome shotgun sequence
Unigene0010084	DF241432.1	100.000	45	0	0	1042	1086	64801	64845	3.04e-14	84.2	DF241432.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold2422.1, whole genome shotgun sequence
Unigene0010119	DF247435.1	100.000	30	0	0	348	377	4048	4019	6.21e-06	56.5	DF247435.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold8930.1, whole genome shotgun sequence
Unigene0010136	DF240896.1	100.000	64	0	0	2001	2064	51200	51263	1.59e-24	119	DF240896.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold1896.1, whole genome shotgun sequence
Unigene0014348	DF239048.1	100.000	33	0	0	2003	2035	224231	224263	3.80e-07	62.1	DF239048.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold44.1, whole genome shotgun sequence
Unigene0016276	DF241097.1	100.000	31	0	0	106	136	61419	61449	1.44e-06	58.4	DF241097.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold2095.1, whole genome shotgun sequence
Unigene0016291	DF240004.1	100.000	32	0	0	982	1013	98472	98441	5.73e-07	60.2	DF240004.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold895.1, whole genome shotgun sequence
Unigene0016493	DF239785.1	100.000	44	0	0	2438	2481	46566	46523	2.70e-13	82.4	DF239785.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold776.1, whole genome shotgun sequence
Unigene0016570	DF239921.1	100.000	61	0	0	717	777	9187	9247	7.16e-23	113	DF239921.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold919.1, whole genome shotgun sequence
Unigene0016605	DF239967.1	100.000	35	0	0	4577	4611	85009	85043	5.42e-08	65.8	DF239967.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold964.1, whole genome shotgun sequence
Unigene0016676	DF239625.1	100.000	45	0	0	9568	9612	178521	178565	3.35e-13	84.2	DF239625.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold625.1, whole genome shotgun sequence
Unigene0016707	DF241011.1	100.000	31	0	0	2605	2635	40248	40278	9.17e-06	58.4	DF241011.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold2011.1, whole genome shotgun sequence
Unigene0016946	DF240624.1	100.000	31	0	0	1488	1518	42998	43028	6.84e-06	58.4	DF240624.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold1623.1, whole genome shotgun sequence
Unigene0017038	DF245214.1	100.000	46	0	0	118	163	9220	9265	1.65e-14	86.1	DF245214.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold6251.1, whole genome shotgun sequence
Unigene0017094	DF241591.1	100.000	32	0	0	481	512	54324	54355	1.05e-06	60.2	DF241591.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold2491.1, whole genome shotgun sequence
Unigene0017881	DF239247.1	100.000	35	0	0	1099	1133	179700	179666	1.33e-08	65.8	DF239247.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold240.1, whole genome shotgun sequence
Unigene0021326	DF244427.1	100.000	37	0	0	7	43	14685	14649	1.82e-10	69.4	DF244427.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold5442.1, whole genome shotgun sequence
Unigene0024613	DF239074.1	100.000	30	0	0	145	174	322902	322873	1.51e-06	56.5	DF239074.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold69.1, whole genome shotgun sequence
Unigene0024727	DF240379.1	100.000	33	0	0	1173	1205	81608	81640	3.17e-07	62.1	DF240379.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold1379.1, whole genome shotgun sequence
Unigene0027221	DF239720.1	100.000	37	0	0	227	263	200951	200915	4.00e-09	69.4	DF239720.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold689.1, whole genome shotgun sequence
Unigene0030657	DF242738.1	100.000	31	0	0	264	294	16266	16236	1.11e-06	58.4	DF242738.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold3739.1, whole genome shotgun sequence
Unigene0030845	DF239436.1	100.000	37	0	0	30	66	134547	134511	7.30e-10	69.4	DF239436.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold435.1, whole genome shotgun sequence
Unigene0031529	DF241134.1	100.000	29	0	0	227	255	56677	56649	7.29e-06	54.7	DF241134.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold2129.1, whole genome shotgun sequence
Unigene0032770	DF239567.1	100.000	29	0	0	143	171	162920	162948	6.63e-06	54.7	DF239567.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold565.1, whole genome shotgun sequence
Unigene0040015	DF239802.1	100.000	34	0	0	515	548	4932	4899	5.51e-08	63.9	DF239802.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold773.1, whole genome shotgun sequence
Unigene0040131	DF239890.1	100.000	31	0	0	2736	2766	40019	39989	5.59e-06	58.4	DF239890.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold888.1, whole genome shotgun sequence
Unigene0040212	DF240565.1	100.000	31	0	0	1557	1587	19805	19775	4.78e-06	58.4	DF240565.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold1565.1, whole genome shotgun sequence
Unigene0040223	DF239578.1	100.000	34	0	0	994	1027	148529	148496	1.30e-07	63.9	DF239578.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold548.1, whole genome shotgun sequence
Unigene0040399	DF239122.1	100.000	31	0	0	1295	1325	13875	13845	3.61e-06	58.4	DF239122.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold122.1, whole genome shotgun sequence
Unigene0040484	DF240206.1	100.000	30	0	0	91	120	131581	131610	9.52e-06	56.5	DF240206.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold1193.1, whole genome shotgun sequence
Unigene0040506	DF240825.1	100.000	50	0	0	1327	1376	21671	21622	7.05e-17	93.5	DF240825.1 Symbiodinium minutum Mf 1.05b.01 DNA, scaffold: scaffold1825.1, whole genome shotgun sequence
