qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
Unigene0000162	GAKY01048586.1	100.000	34	0	0	886	919	66	33	1.62e-08	63.9	GAKY01048586.1 TSA: Symbiodinium sp. A1 Locus_10560_Transcript_6/6_Confidence_0.793 transcribed RNA sequence
Unigene0021217	GAKY01197319.1	100.000	29	0	0	33	61	134	162	2.14e-06	54.7	GAKY01197319.1 TSA: Symbiodinium sp. A1 Locus_91513_Transcript_1/1_Confidence_1.000 transcribed RNA sequence
Unigene0041485	GAKY01091023.1	100.000	32	0	0	102	133	586	617	9.93e-08	60.2	GAKY01091023.1 TSA: Symbiodinium sp. A1 Locus_21755_Transcript_6/7_Confidence_0.190 transcribed RNA sequence
Unigene0041656	GAKY01018973.1	100.000	39	0	0	1435	1473	957	919	5.40e-11	73.1	GAKY01018973.1 TSA: Symbiodinium sp. A1 Locus_3965_Transcript_4/4_Confidence_0.727 transcribed RNA sequence
Unigene0045924	GAKY01113082.1	100.000	29	0	0	192	220	279	307	7.86e-06	54.7	GAKY01113082.1 TSA: Symbiodinium sp. A1 Locus_29964_Transcript_1/1_Confidence_1.000 transcribed RNA sequence
Unigene0051085	GAKY01059238.1	100.000	30	0	0	300	329	673	702	4.89e-06	56.5	GAKY01059238.1 TSA: Symbiodinium sp. A1 Locus_13054_Transcript_3/3_Confidence_0.714 transcribed RNA sequence
Unigene0055782	GAKY01155750.1	100.000	36	0	0	1	36	470	435	5.64e-10	67.6	GAKY01155750.1 TSA: Symbiodinium sp. A1 Locus_48833_Transcript_3/3_Confidence_0.818 transcribed RNA sequence
Unigene0059620	GAKY01126984.1	100.000	28	0	0	151	178	446	419	6.50e-06	52.8	GAKY01126984.1 TSA: Symbiodinium sp. A1 Locus_36280_Transcript_3/3_Confidence_0.800 transcribed RNA sequence
Unigene0060178	GAKY01149876.1	100.000	97	0	0	55	151	1	97	2.47e-44	180	GAKY01149876.1 TSA: Symbiodinium sp. A1 Locus_44815_Transcript_2/2_Confidence_1.000 transcribed RNA sequence
Unigene0068930	GAKY01082847.1	100.000	33	0	0	45	77	1524	1556	6.64e-08	62.1	GAKY01082847.1 TSA: Symbiodinium sp. A1 Locus_19281_Transcript_9/9_Confidence_0.633 transcribed RNA sequence
Unigene0070155	GAKY01009683.1	100.000	29	0	0	73	101	205	177	2.07e-06	54.7	GAKY01009683.1 TSA: Symbiodinium sp. A1 Locus_1996_Transcript_7/7_Confidence_0.684 transcribed RNA sequence
Unigene0075590	GAKY01136469.1	100.000	31	0	0	1823	1853	1337	1307	1.50e-06	58.4	GAKY01136469.1 TSA: Symbiodinium sp. A1 Locus_39214_Transcript_1/1_Confidence_1.000 transcribed RNA sequence
Unigene0076251	GAKY01098784.1	100.000	29	0	0	57	85	43	71	1.52e-06	54.7	GAKY01098784.1 TSA: Symbiodinium sp. A1 Locus_24419_Transcript_9/10_Confidence_0.306 transcribed RNA sequence
