qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
Unigene0008342	mf105_s73637	100.000	30	0	0	919	948	12	41	6.31e-07	56.5	mf105_s73637
Unigene0016276	mf105_rep_c31873	100.000	31	0	0	106	136	319	349	1.03e-07	58.4	mf105_rep_c31873
Unigene0016291	mf105_c16599	100.000	32	0	0	982	1013	923	892	4.09e-08	60.2	mf105_c16599
Unigene0032770	mf105_rep_c5151	100.000	29	0	0	272	300	313	285	4.79e-07	54.7	mf105_rep_c5151
Unigene0055782	mf105_c15464	100.000	36	0	0	1	36	1601	1636	1.00e-10	67.6	mf105_c15464
Unigene0063817	mf105_s62106	100.000	29	0	0	438	466	85	113	2.75e-06	54.7	mf105_s62106
Unigene0076212	mf105_s61391	100.000	29	0	0	861	889	105	133	4.15e-06	54.7	mf105_s61391
Unigene0082795	mf105_c47464	100.000	28	0	0	193	220	237	210	8.45e-06	52.8	mf105_c47464
Unigene0086465	mf105_c40358	100.000	34	0	0	1051	1084	226	259	3.04e-09	63.9	mf105_c40358
Unigene0090022	mf105_s54719	100.000	36	0	0	119	154	50	85	1.84e-10	67.6	mf105_s54719
Unigene0094321	mf105_rep_c1498	100.000	32	0	0	1265	1296	1031	1062	4.12e-08	60.2	mf105_rep_c1498
Unigene0094758	mf105_rep_c4660	100.000	29	0	0	4659	4687	552	580	9.16e-06	54.7	mf105_rep_c4660
Unigene0110042	mf105_s63141	100.000	28	0	0	37	64	73	100	2.04e-06	52.8	mf105_s63141
Unigene0110043	mf105_s63141	100.000	28	0	0	37	64	73	100	2.20e-06	52.8	mf105_s63141
Unigene0119211	mf105_c23932	100.000	28	0	0	456	483	544	517	2.76e-06	52.8	mf105_c23932
Unigene0121086	mf105_rep_c14096	100.000	33	0	0	287	319	606	574	8.61e-09	62.1	mf105_rep_c14096
Unigene0155919	mf105_s55618	100.000	28	0	0	416	443	75	102	2.43e-06	52.8	mf105_s55618
Unigene0157514	mf105_rep_c11879	100.000	28	0	0	664	691	510	537	4.82e-06	52.8	mf105_rep_c11879
Unigene0162633	mf105_rep_c1119	100.000	29	0	0	530	558	523	495	5.62e-06	54.7	mf105_rep_c1119
Unigene0170421	mf105_s55618	100.000	28	0	0	10	37	102	75	1.36e-06	52.8	mf105_s55618
Unigene0170422	mf105_s55618	100.000	28	0	0	10	37	102	75	1.44e-06	52.8	mf105_s55618
Unigene0171645	mf105_rep_c21505	100.000	33	0	0	273	305	115	83	8.40e-09	62.1	mf105_rep_c21505
Unigene0172706	mf105_c21686	100.000	29	0	0	30	58	45	73	3.25e-07	54.7	mf105_c21686
Unigene0176589	mf105_s74006	100.000	45	0	0	87	131	69	25	4.98e-16	84.2	mf105_s74006
Unigene0182065	mf105_rep_c4361	100.000	31	0	0	488	518	241	271	2.45e-07	58.4	mf105_rep_c4361
Unigene0186783	mf105_rep_c31695	100.000	29	0	0	1542	1570	35	7	3.52e-06	54.7	mf105_rep_c31695
Unigene0190546	mf105_rep_c24238	100.000	126	0	0	116	241	394	269	3.93e-61	233	mf105_rep_c24238
Unigene0190547	mf105_rep_c24238	100.000	128	0	0	97	224	396	269	2.82e-62	237	mf105_rep_c24238
Unigene0203119	mf105_rep_c3234	100.000	29	0	0	2123	2151	1904	1932	3.35e-06	54.7	mf105_rep_c3234
Unigene0062841	mf105_rep_c797	99.769	432	1	0	1	432	651	220	0.0	793	mf105_rep_c797
Unigene0135962	mf105_c33854	99.198	499	0	4	6267	6761	502	4	0.0	896	mf105_c33854
Unigene0160740	mf105_rep_c2318	98.935	1409	15	0	1	1409	1452	44	0.0	2519	mf105_rep_c2318
Unigene0050593	mf105_rep_c4582	98.734	79	1	0	170	248	1942	2020	2.53e-33	141	mf105_rep_c4582
Unigene0100290	mf105_rep_c24592	98.558	208	3	0	1	208	243	36	8.97e-102	368	mf105_rep_c24592
Unigene0067303	mf105_rep_c2000	98.556	1039	15	0	7	1045	1616	578	0.0	1838	mf105_rep_c2000
Unigene0050129	mf105_c46010	98.529	68	1	0	1	68	523	456	3.71e-27	121	mf105_c46010
Unigene0153414	mf105_rep_c52755	98.444	257	4	0	1	257	61	317	2.98e-127	453	mf105_rep_c52755
Unigene0046765	mf105_rep_c30787	98.438	192	2	1	1	191	122	313	5.60e-92	337	mf105_rep_c30787
Unigene0046766	mf105_rep_c30787	98.438	192	2	1	1	191	122	313	4.98e-92	337	mf105_rep_c30787
Unigene0110278	mf105_rep_c43180	98.273	637	9	1	1	637	205	839	0.0	1114	mf105_rep_c43180
Unigene0072377	mf105_s63893	98.246	57	1	0	624	680	289	233	2.73e-20	100	mf105_s63893
Unigene0140754	mf105_rep_c49664	98.221	281	5	0	1	281	509	229	6.96e-139	492	mf105_rep_c49664
Unigene0077087	mf105_c39220	98.113	53	1	0	173	225	434	486	7.13e-19	93.5	mf105_c39220
Unigene0055930	mf105_rep_c6249	97.959	49	1	0	1	49	1626	1674	9.79e-17	86.1	mf105_rep_c6249
Unigene0114431	mf105_rep_c7489	97.959	245	5	0	2	246	672	916	6.19e-119	425	mf105_rep_c7489
Unigene0088385	mf105_s55827	97.917	48	1	0	1	48	217	264	5.12e-16	84.2	mf105_s55827
Unigene0181067	mf105_c25380	97.917	48	1	0	9	56	869	822	2.21e-15	84.2	mf105_c25380
Unigene0120038	mf105_rep_c448	97.866	1453	29	2	1	1451	2341	889	0.0	2510	mf105_rep_c448
Unigene0027324	mf105_s74006	97.778	45	1	0	1296	1340	69	25	1.29e-13	78.7	mf105_s74006
Unigene0070840	mf105_s61907	97.778	45	1	0	245	289	225	269	2.70e-14	78.7	mf105_s61907
Unigene0157200	mf105_rep_c934	97.644	382	9	0	1	382	925	1306	0.0	656	mf105_rep_c934
Unigene0060984	mf105_s55827	97.561	41	1	0	1	41	217	257	3.35e-12	71.3	mf105_s55827
Unigene0064779	mf105_s71502	97.368	38	1	0	1519	1556	72	109	1.47e-09	65.8	mf105_s71502
Unigene0087237	mf105_rep_c11750	97.368	38	1	0	204	241	113	150	6.56e-10	65.8	mf105_rep_c11750
Unigene0100063	mf105_rep_c7575	97.368	38	1	0	9	46	28	65	3.83e-10	65.8	mf105_rep_c7575
Unigene0147494	mf105_rep_c11835	97.368	38	1	0	491	528	384	347	7.41e-10	65.8	mf105_rep_c11835
Unigene0156675	mf105_rep_c52	97.363	531	14	0	1	531	1780	2310	0.0	904	mf105_rep_c52
Unigene0071811	mf105_s57839	97.357	227	5	1	1	226	44	270	9.62e-107	385	mf105_s57839
Unigene0005647	mf105_c24772	97.297	37	1	0	655	691	282	246	7.58e-09	63.9	mf105_c24772
Unigene0207095	mf105_rep_c3045	97.281	331	9	0	1	331	2213	1883	6.25e-160	562	mf105_rep_c3045
Unigene0016553	mf105_rep_c5795	97.143	35	0	1	944	977	76	42	2.38e-07	58.4	mf105_rep_c5795
Unigene0142823	mf105_rep_c24189	97.143	35	1	0	135	169	435	401	6.16e-09	60.2	mf105_rep_c24189
Unigene0038291	mf105_rep_c3418	97.059	34	0	1	175	208	736	704	8.06e-08	56.5	mf105_rep_c3418
Unigene0038292	mf105_rep_c3418	97.059	34	0	1	175	208	736	704	8.06e-08	56.5	mf105_rep_c3418
Unigene0008859	mf105_c45934	97.015	201	0	6	240	434	2	202	7.12e-91	333	mf105_c45934
Unigene0113191	mf105_c24821	96.970	33	1	0	483	515	31	63	5.58e-07	56.5	mf105_c24821
Unigene0032727	mf105_rep_c934	96.954	394	10	2	1	393	771	379	0.0	660	mf105_rep_c934
Unigene0073150	mf105_rep_c2094	96.875	32	1	0	645	676	308	339	1.78e-06	54.7	mf105_rep_c2094
Unigene0094539	mf105_c40689	96.875	32	1	0	429	460	235	266	2.03e-06	54.7	mf105_c40689
Unigene0111346	mf105_rep_c45833	96.875	32	1	0	1346	1377	67	36	2.08e-06	54.7	mf105_rep_c45833
Unigene0207094	mf105_rep_c218	96.676	361	12	0	1	361	3034	3394	1.45e-171	601	mf105_rep_c218
Unigene0207105	mf105_s50149	96.503	143	5	0	242	384	155	297	5.04e-62	237	mf105_s50149
Unigene0025724	mf105_rep_c2696	96.446	1407	33	4	2	1408	214	1603	0.0	2305	mf105_rep_c2696
Unigene0084792	mf105_c25380	96.429	56	2	0	1733	1788	1436	1491	5.85e-18	93.5	mf105_c25380
