id, CO2, pH,HCO3-,CO32- ,Ca2+,Alkalinity,DIC,buffer capacity,Calcification,Fv/Fm_t0,Fv/Fm_t1,tank,treatment
cont_1,12.28,8.01,1817.39,200.63,9.7687486,2306.77,2030.3,0.271608696,0.48,0.7,0.65,1,control
cont_2,14.09,7.95,1829.14,177.78,9.8802304,2264.72,2021.01,0.245173913,0.38,0.7,0.65,1,control
cont_3,14.24,7.91,1737.62,166.84,10.1298798,2151.26,1918.7,0.222086957,0.58,0.69,0.72,2,control
cont_4,13.54,7.96,1794.72,181.75,9.9263694,2240.91,1990.01,0.246173913,0.46,0.69,0.62,2,control
CaOH_1,8.23,8.21,1922.59,337.11,10.1652946,2721.51,2267.93,0.393217391,0.67,0.69,0.69,3,HA
CaOH_2,7.83,8.23,1924.77,356.09,10.282762,2767.68,2288.69,0.407173913,0.78,0.71,0.66,3,HA
CaOH_3,7.74,8.19,1806.64,328.75,10.4002294,2593.99,2143.13,0.366478261,0.98,0.69,0.73,4,HA
CaOH_4,7.93,8.21,1884.67,340.65,10.282762,2694.4,2233.25,0.388652174,0.81,0.69,0.71,4,HA
CO2_1,35.38,7.6,2007.74,84.64,9.6864466,2215.02,2127.76,0.157173913,0.34,0.67,0.65,5,HC
CO2_2,31.92,7.65,2043.38,97.7,9.795185,2281.71,2173,0.168956522,0.23,0.75,0.73,5,HC
CO2_3,45.29,7.48,2064.07,72.84,9.9096596,2242.21,2182.2,0.144521739,0.31,0.66,0.63,6,HC
CO2_4,37.53,7.58,2038.4,85.06,9.7969308,2246.31,2160.99,0.155826087,0.33,0.73,0.73,6,HC
CO2_CaOH_1,15.47,7.98,2167.44,227.88,10.1652946,2707.07,2410.79,0.292695652,0.57,0.67,0.66,7,HAHC1
CO2_CaOH_2,16.78,7.96,2236.79,223.59,10.2518364,2764.97,2477.16,0.289782609,0.76,0.71,0.71,7,HAHC1
CO2_CaOH_3,17.15,7.91,2075.04,195.26,10.372546,2542.76,2287.45,0.252695652,0.61,0.68,0.62,8,HAHC1
CO2_CaOH_4,16.47,7.95,2159.76,215.58,10.2630594,2671.6,2391.81,0.277869565,0.65,0.69,0.67,8,HAHC1
CO2_NaOH_1,17.02,7.94,2180.27,209.95,9.6570174,2678.18,2407.24,0.275,0.76,0.68,0.72,9,HAHC2
CO2_NaOH_2,15.04,7.98,2085.64,217.53,9.7393194,2604.53,2318.21,0.284173913,0.72,0.69,0.72,9,HAHC2
CO2_NaOH_3,17.29,7.92,2182.89,215.76,9.853794,2694.75,2415.94,0.267434783,0.89,0.72,0.69,10,HAHC2
CO2_NaOH_4,16.45,7.95,2149.6,214.41,9.7500436,2659.15,2380.46,0.276913043,0.79,0.69,0.68,10,HAHC2
