protein id,ORIGIN,Protein description,PH7.85R1,PH7.85R2,PH7.85R3,PH8.15R1,PH8.15R2,PH8.15R3,PH8.45R1,PH8.45R2,PH8.45R3,fold1,fold2,Subcellular localization,Biological Process,Cellular Component,Molecular Function,KEGG KO No.,KEGG Gene,KEGG pathway,IPR ID,Domain description
c195865_g1_orf1,coral,len=173  frame:1  start:766  end:1284  calmodulin-like protein [Acropora millepora],0.94,0.694,0.879,0.995,1.022,0.877,1.406,1.148,1.426,0.868348307,0.645226131,cytoplasm,,,GO:0043169 cation binding; GO:0046872 metal ion binding; GO:0005509 calcium ion binding; GO:0005488 binding; GO:0043167 ion binding; ,K02183,CALM; calmodulin,ko05167 Kaposi's sarcoma-associated herpesvirus infection; ko04625 C-type lectin receptor signaling pathway; ko04970 Salivary secretion; ko04912 GnRH signaling pathway; ko04722 Neurotrophin signaling pathway; ko05034 Alcoholism; ko04020 Calcium signaling pathway; ko04971 Gastric acid secretion; ko05133 Pertussis; ko04270 Vascular smooth muscle contraction; ko05200 Pathways in cancer; ko04921 Oxytocin signaling pathway; ko04922 Glucagon signaling pathway; ko04744 Phototransduction; ko04740 Olfactory transduction; ko05214 Glioma; ko04713 Circadian entrainment; ko04024 cAMP signaling pathway; ko05152 Tuberculosis; ko04745 Phototransduction - fly; ko05031 Amphetamine addiction; ko04916 Melanogenesis; ko04371 Apelin signaling pathway; ko04015 Rap1 signaling pathway; ko04261 Adrenergic signaling in cardiomyocytes; ko04626 Plant-pathogen interaction; ko04915 Estrogen signaling pathway; ko04114 Oocyte meiosis; ko05010 Alzheimer's disease; ko04750 Inflammatory mediator regulation of TRP channels; ko04720 Long-term potentiation; ko04218 Cellular senescence; ko04728 Dopaminergic synapse; ko04022 cGMP-PKG signaling pathway; ko04070 Phosphatidylinositol signaling system; ko04925 Aldosterone synthesis and secretion; ko05418 Fluid shear stress and atherosclerosis; ko04016 MAPK signaling pathway - plant; ko04924 Renin secretion; ko04910 Insulin signaling pathway; ko04014 Ras signaling pathway; ,IPR002048; IPR011992; ,EF-hand domain; EF-hand domain pair; 
c196028_g1,coral,len=150  start:135  end:584 minus strand,0.805,0.738,0.887,0.9,0.983,0.925,1.305,1.45,1.225,0.865384615,0.634422111,cytoplasm,,,GO:0043169 cation binding; GO:0046872 metal ion binding; GO:0005509 calcium ion binding; GO:0005488 binding; GO:0043167 ion binding; ,K02183,CALM; calmodulin,ko05167 Kaposi's sarcoma-associated herpesvirus infection; ko04625 C-type lectin receptor signaling pathway; ko04970 Salivary secretion; ko04912 GnRH signaling pathway; ko04722 Neurotrophin signaling pathway; ko05034 Alcoholism; ko04020 Calcium signaling pathway; ko04971 Gastric acid secretion; ko05133 Pertussis; ko04270 Vascular smooth muscle contraction; ko05200 Pathways in cancer; ko04921 Oxytocin signaling pathway; ko04922 Glucagon signaling pathway; ko04744 Phototransduction; ko04740 Olfactory transduction; ko05214 Glioma; ko04713 Circadian entrainment; ko04024 cAMP signaling pathway; ko05152 Tuberculosis; ko04745 Phototransduction - fly; ko05031 Amphetamine addiction; ko04916 Melanogenesis; ko04371 Apelin signaling pathway; ko04015 Rap1 signaling pathway; ko04261 Adrenergic signaling in cardiomyocytes; ko04626 Plant-pathogen interaction; ko04915 Estrogen signaling pathway; ko04114 Oocyte meiosis; ko05010 Alzheimer's disease; ko04750 Inflammatory mediator regulation of TRP channels; ko04720 Long-term potentiation; ko04218 Cellular senescence; ko04728 Dopaminergic synapse; ko04022 cGMP-PKG signaling pathway; ko04070 Phosphatidylinositol signaling system; ko04925 Aldosterone synthesis and secretion; ko05418 Fluid shear stress and atherosclerosis; ko04016 MAPK signaling pathway - plant; ko04924 Renin secretion; ko04910 Insulin signaling pathway; ko04014 Ras signaling pathway; ,IPR011992; IPR002048; ,EF-hand domain pair; EF-hand domain; 
c203133_g1_orf1,coral,len=159  frame:2  start:2  end:478  hypothetical protein BRAFLDRAFT_71435 [Branchiostoma floridae]&gt;gi|229292911|gb|EEN63573.1| hypothetical protein BRAFLDRAFT_71435 [Branchiostoma floridae],0.782,0.849,0.8,0.921,1.022,0.875,1.416,1.369,1.185,0.862668559,0.647355164,extracellular,,GO:0016020 membrane; ,,,,,IPR001799; IPR008972; ,Ephrin receptor-binding domain; Cupredoxin; 
c209821_g1_orf1,coral,len=512  frame:1  start:1  end:1536  predicted protein [Nematostella vectensis]&gt;gi|156211218|gb|EDO32338.1| predicted protein [Nematostella vectensis],0.849,0.771,0.735,0.883,0.862,1.03,1.447,1.405,1.182,0.848648649,0.592216163,cytoplasm,GO:0018130 heterocycle biosynthetic process; GO:0006725 cellular aromatic compound metabolic process; GO:0034654 nucleobase-containing compound biosynthetic process; GO:1901360 organic cyclic compound metabolic process; GO:0006807 nitrogen compound metabolic process; GO:0009058 biosynthetic process; GO:0032774 RNA biosynthetic process; GO:0044238 primary metabolic process; GO:0044237 cellular metabolic process; GO:1901576 organic substance biosynthetic process; GO:0044249 cellular biosynthetic process; GO:0071704 organic substance metabolic process; GO:0016070 RNA metabolic process; GO:0008152 metabolic process; GO:0006399 tRNA metabolic process; GO:0090304 nucleic acid metabolic process; GO:0046483 heterocycle metabolic process; GO:0044271 cellular nitrogen compound biosynthetic process; GO:0006139 nucleobase-containing compound metabolic process; GO:0019438 aromatic compound biosynthetic process; GO:0044260 cellular macromolecule metabolic process; GO:0034641 cellular nitrogen compound metabolic process; GO:0043170 macromolecule metabolic process; GO:0097056 selenocysteinyl-tRNA(Sec) biosynthetic process; GO:0009059 macromolecule biosynthetic process; GO:0009987 cellular process; GO:0034660 ncRNA metabolic process; GO:1901362 organic cyclic compound biosynthetic process; ,,"GO:0016785 transferase activity, transferring selenium-containing groups; GO:0003824 catalytic activity; GO:0016740 transferase activity; ",,,,IPR015424; IPR015421; ,"Pyridoxal phosphate-dependent transferase; Pyridoxal phosphate-dependent transferase, major region, subdomain 1; "
c213258_g1_orf1,coral,len=1521  frame:-2  start:6409  end:1847  PREDICTED: roundabout homolog 2-like [Apis florea],0.745,0.825,0.89,0.885,1.065,0.952,1.298,1.351,1.19,0.847691247,0.677259703,plasma membrane,,,GO:0005515 protein binding; GO:0005488 binding; ,,,,IPR003598; IPR007110; IPR013783; IPR013106; IPR003599; IPR003961; IPR013098; ,Immunoglobulin subtype 2; Immunoglobulin-like domain; Immunoglobulin-like fold; Immunoglobulin V-set domain; Immunoglobulin subtype; Fibronectin type III; Immunoglobulin I-set; 
c314387_g1,coral,len=372  start:1  end:1115 minus strand,0.705,0.867,0.838,0.82,0.981,1.048,1.324,1.263,1.368,0.845910846,0.638432364,"cytoplasm,nucleus",,,,K10580,UBE2N; ubiquitin-conjugating enzyme E2 N [EC:2.3.2.23],ko04624 Toll and Imd signaling pathway; ko04120 Ubiquitin mediated proteolysis; ,IPR016135; IPR000608; ,Ubiquitin-conjugating enzyme/RWD-like; Ubiquitin-conjugating enzyme E2; 
c209213_g1_orf1,coral,len=372  frame:3  start:3  end:1118  predicted protein [Nematostella vectensis]&gt;gi|156221854|gb|EDO42704.1| predicted protein [Nematostella vectensis],0.864,0.745,0.89,1.087,0.886,1.013,1.204,1.469,1.122,0.836905559,0.717259552,extracellular,,,,,,,IPR002731; ,"ATPase, BadF/BadG/BcrA/BcrD type; "
c193495_g1_orf1,coral,len=168  frame:-3  start:986  end:483  predicted protein [Nematostella vectensis]&gt;gi|156227887|gb|EDO48688.1| predicted protein [Nematostella vectensis],0.779,0.789,0.878,1.099,0.904,0.931,1.344,1.169,1.295,0.833674165,0.726365546,cytoplasm,GO:0044085 cellular component biogenesis; GO:0042254 ribosome biogenesis; GO:0022613 ribonucleoprotein complex biogenesis; GO:0071840 cellular component organization or biogenesis; ,GO:0043229 intracellular organelle; GO:0043232 intracellular non-membrane-bounded organelle; GO:0044446 intracellular organelle part; GO:0032991 macromolecular complex; GO:0031981 nuclear lumen; GO:0044424 intracellular part; GO:0005730 nucleolus; GO:0005623 cell; GO:0044422 organelle part; GO:0043228 non-membrane-bounded organelle; GO:0043226 organelle; GO:0043231 intracellular membrane-bounded organelle; GO:0031974 membrane-enclosed lumen; GO:0005634 nucleus; GO:0070013 intracellular organelle lumen; GO:0044464 cell part; GO:0005622 intracellular; GO:1990904 ribonucleoprotein complex; GO:0030529 intracellular ribonucleoprotein complex; GO:0043227 membrane-bounded organelle; GO:0043233 organelle lumen; GO:0044428 nuclear part; ,GO:0097159 organic cyclic compound binding; GO:1901363 heterocyclic compound binding; GO:0003723 RNA binding; GO:0005488 binding; GO:0003676 nucleic acid binding; ,,,,IPR029064; IPR004038; ,50S ribosomal protein L30e-like; Ribosomal protein L7Ae/L30e/S12e/Gadd45; 
c208444_g1_orf1,coral,len=528  frame:2  start:182  end:1765  predicted protein [Nematostella vectensis]&gt;gi|156216173|gb|EDO37116.1| predicted protein [Nematostella vectensis],0.823,0.866,0.762,0.981,0.955,1.003,1.262,1.303,1.217,0.833957128,0.689846642,cytoplasm,GO:0006508 proteolysis; GO:0008152 metabolic process; GO:0043170 macromolecule metabolic process; GO:0019538 protein metabolic process; GO:0044238 primary metabolic process; GO:0071704 organic substance metabolic process; ,GO:0044424 intracellular part; GO:0005623 cell; GO:0005622 intracellular; GO:0044464 cell part; GO:0005737 cytoplasm; ,"GO:0008233 peptidase activity; GO:0008238 exopeptidase activity; GO:0046914 transition metal ion binding; GO:0003824 catalytic activity; GO:0005488 binding; GO:0043167 ion binding; GO:0008235 metalloexopeptidase activity; GO:0043169 cation binding; GO:0046872 metal ion binding; GO:0070011 peptidase activity, acting on L-amino acid peptides; GO:0016787 hydrolase activity; GO:0004177 aminopeptidase activity; GO:0008237 metallopeptidase activity; GO:0030145 manganese ion binding; ",,,,IPR000819; ,"Peptidase M17, leucyl aminopeptidase, C-terminal; "
c204038_g1_orf1,coral,"len=219  frame:3  start:63  end:719  predicted protein [Nematostella vectensis]&gt;gi|156216134|gb|EDO37078.1| predicted protein, partial [Nematostella vectensis]",0.774,0.745,0.913,0.926,1.212,0.81,1.206,1.251,1.363,0.824966079,0.676439791,cytoplasm,GO:0050794 regulation of cellular process; GO:0044700 single organism signaling; GO:0051716 cellular response to stimulus; GO:0007165 signal transduction; GO:0050789 regulation of biological process; GO:0007154 cell communication; GO:0035556 intracellular signal transduction; GO:0044699 single-organism process; GO:0007264 small GTPase mediated signal transduction; GO:0023052 signaling; GO:0050896 response to stimulus; GO:0009987 cellular process; GO:0065007 biological regulation; ,,GO:1901265 nucleoside phosphate binding; GO:0001882 nucleoside binding; GO:0043167 ion binding; GO:0000166 nucleotide binding; GO:0097159 organic cyclic compound binding; GO:1901363 heterocyclic compound binding; GO:0032549 ribonucleoside binding; GO:0097367 carbohydrate derivative binding; GO:0032553 ribonucleotide binding; GO:0005488 binding; GO:0032550 purine ribonucleoside binding; GO:0043168 anion binding; GO:0032555 purine ribonucleotide binding; GO:0001883 purine nucleoside binding; GO:0032561 guanyl ribonucleotide binding; GO:0019001 guanyl nucleotide binding; GO:0005525 GTP binding; GO:0017076 purine nucleotide binding; GO:0036094 small molecule binding; GO:0035639 purine ribonucleoside triphosphate binding; ,,,,IPR005225; IPR027417; ,Small GTP-binding protein domain; P-loop containing nucleoside triphosphate hydrolase; 
