qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
Unigene0007657	GBGW01032719.1	100.000	30	0	0	540	569	249	278	1.16e-07	56.5	GBGW01032719.1 TSA: Symbiodinium sp. A2 Locus_37228_Transcript_1/1_Confidence_1.000_Length_283 transcribed RNA sequence
Unigene0021831	GBGW01014966.1	100.000	28	0	0	353	380	382	409	1.04e-06	52.8	GBGW01014966.1 TSA: Symbiodinium sp. A2 Locus_51839_Transcript_1/1_Confidence_1.000_Length_435 transcribed RNA sequence
Unigene0029749	GBGW01001596.1	100.000	32	0	0	1294	1325	733	764	2.55e-08	60.2	GBGW01001596.1 TSA: Symbiodinium sp. A2 Locus_4517_Transcript_1/1_Confidence_1.000_Length_1132 transcribed RNA sequence
Unigene0040518	GBGW01002053.1	100.000	33	0	0	181	213	173	205	5.44e-09	62.1	GBGW01002053.1 TSA: Symbiodinium sp. A2 Locus_1932_Transcript_1/4_Confidence_0.667_Length_1037 transcribed RNA sequence
Unigene0041780	GBGW01002372.1	100.000	33	0	0	593	625	859	827	2.71e-09	62.1	GBGW01002372.1 TSA: Symbiodinium sp. A2 Locus_7255_Transcript_1/1_Confidence_1.000_Length_988 transcribed RNA sequence
Unigene0041948	GBGW01008218.1	100.000	33	0	0	316	348	452	420	8.16e-09	62.1	GBGW01008218.1 TSA: Symbiodinium sp. A2 Locus_37029_Transcript_1/1_Confidence_1.000_Length_589 transcribed RNA sequence
Unigene0052354	GBGW01005990.1	100.000	29	0	0	260	288	523	495	6.87e-07	54.7	GBGW01005990.1 TSA: Symbiodinium sp. A2 Locus_8370_Transcript_1/1_Confidence_1.000_Length_677 transcribed RNA sequence
Unigene0053026	GBGW01047428.1	100.000	28	0	0	2782	2809	96	69	9.32e-06	52.8	GBGW01047428.1 TSA: Symbiodinium sp. A2 Locus_29117_Transcript_1/1_Confidence_1.000_Length_226 transcribed RNA sequence
Unigene0066867	GBGW01045204.1	100.000	28	0	0	413	440	107	134	2.23e-06	52.8	GBGW01045204.1 TSA: Symbiodinium sp. A2 Locus_20893_Transcript_1/1_Confidence_1.000_Length_233 transcribed RNA sequence
Unigene0069712	GBGW01004539.1	100.000	35	0	0	103	137	422	456	6.57e-11	65.8	GBGW01004539.1 TSA: Symbiodinium sp. A2 Locus_7488_Transcript_2/3_Confidence_0.571_Length_764 transcribed RNA sequence
Unigene0070840	GBGW01001557.1	100.000	29	0	0	1	29	823	851	2.27e-07	54.7	GBGW01001557.1 TSA: Symbiodinium sp. A2 Locus_9728_Transcript_2/2_Confidence_1.000_Length_1141 transcribed RNA sequence
Unigene0072188	GBGW01042472.1	100.000	28	0	0	1932	1959	157	184	9.23e-06	52.8	GBGW01042472.1 TSA: Symbiodinium sp. A2 Locus_53559_Transcript_1/1_Confidence_1.000_Length_242 transcribed RNA sequence
Unigene0073057	GBGW01001258.1	100.000	28	0	0	1918	1945	615	588	5.83e-06	52.8	GBGW01001258.1 TSA: Symbiodinium sp. A2 Locus_17266_Transcript_1/1_Confidence_1.000_Length_1222 transcribed RNA sequence
Unigene0073492	GBGW01050154.1	100.000	28	0	0	839	866	75	48	5.12e-06	52.8	GBGW01050154.1 TSA: Symbiodinium sp. A2 Locus_27904_Transcript_1/1_Confidence_1.000_Length_218 transcribed RNA sequence
Unigene0082725	GBGW01001306.1	100.000	28	0	0	759	786	491	518	5.78e-06	52.8	GBGW01001306.1 TSA: Symbiodinium sp. A2 Locus_6066_Transcript_1/1_Confidence_1.000_Length_1209 transcribed RNA sequence
Unigene0083281	GBGW01032188.1	100.000	30	0	0	1274	1303	158	187	7.97e-07	56.5	GBGW01032188.1 TSA: Symbiodinium sp. A2 Locus_16099_Transcript_1/1_Confidence_1.000_Length_286 transcribed RNA sequence
Unigene0084443	GBGW01015795.1	100.000	30	0	0	2783	2812	249	220	7.36e-07	56.5	GBGW01015795.1 TSA: Symbiodinium sp. A2 Locus_31229_Transcript_1/1_Confidence_1.000_Length_423 transcribed RNA sequence
Unigene0088022	GBGW01009471.1	100.000	28	0	0	59	86	337	364	1.72e-06	52.8	GBGW01009471.1 TSA: Symbiodinium sp. A2 Locus_59391_Transcript_1/1_Confidence_1.000_Length_549 transcribed RNA sequence
Unigene0095153	GBGW01007279.1	100.000	28	0	0	2827	2854	340	367	7.78e-06	52.8	GBGW01007279.1 TSA: Symbiodinium sp. A2 Locus_21770_Transcript_1/1_Confidence_1.000_Length_623 transcribed RNA sequence
Unigene0099205	GBGW01001830.1	100.000	29	0	0	448	476	277	249	1.08e-06	54.7	GBGW01001830.1 TSA: Symbiodinium sp. A2 Locus_465_Transcript_1/1_Confidence_1.000_Length_1080 transcribed RNA sequence
Unigene0101297	GBGW01028167.1	100.000	28	0	0	106	133	41	68	6.06e-07	52.8	GBGW01028167.1 TSA: Symbiodinium sp. A2 Locus_32824_Transcript_1/1_Confidence_1.000_Length_309 transcribed RNA sequence
Unigene0113412	GBGW01009561.1	100.000	28	0	0	665	692	71	98	2.18e-06	52.8	GBGW01009561.1 TSA: Symbiodinium sp. A2 Locus_81032_Transcript_1/1_Confidence_1.000_Length_546 transcribed RNA sequence
Unigene0113755	GBGW01053113.1	100.000	28	0	0	1002	1029	133	160	7.12e-06	52.8	GBGW01053113.1 TSA: Symbiodinium sp. A2 Locus_52472_Transcript_1/1_Confidence_1.000_Length_210 transcribed RNA sequence
Unigene0116732	GBGW01015657.1	100.000	29	0	0	176	204	204	232	9.72e-07	54.7	GBGW01015657.1 TSA: Symbiodinium sp. A2 Locus_29230_Transcript_1/1_Confidence_1.000_Length_425 transcribed RNA sequence
Unigene0119896	GBGW01023758.1	100.000	54	0	0	634	687	54	1	7.10e-21	100	GBGW01023758.1 TSA: Symbiodinium sp. A2 Locus_76717_Transcript_1/1_Confidence_1.000_Length_340 transcribed RNA sequence
Unigene0120640	GBGW01019661.1	100.000	29	0	0	381	409	318	346	6.37e-07	54.7	GBGW01019661.1 TSA: Symbiodinium sp. A2 Locus_10290_Transcript_1/2_Confidence_1.000_Length_378 transcribed RNA sequence
