qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
Unigene0016710	GBRZ01006891.1	100.000	29	0	0	3274	3302	566	594	4.58e-06	54.7	GBRZ01006891.1 TSA: Symbiodinium sp. B2 Locus_36026_Transcript_1/1_Confidence_1.000_Length_696 transcribed RNA sequence
Unigene0040373	GBRZ01002823.1	100.000	28	0	0	933	960	506	533	9.47e-06	52.8	GBRZ01002823.1 TSA: Symbiodinium sp. B2 Locus_16092_Transcript_1/1_Confidence_1.000_Length_994 transcribed RNA sequence
Unigene0041102	GBRZ01010973.1	100.000	30	0	0	1275	1304	64	35	5.14e-07	56.5	GBRZ01010973.1 TSA: Symbiodinium sp. B2 Locus_37347_Transcript_1/1_Confidence_1.000_Length_571 transcribed RNA sequence
Unigene0041429	GBRZ01003589.1	100.000	34	0	0	1577	1610	267	234	5.24e-09	63.9	GBRZ01003589.1 TSA: Symbiodinium sp. B2 Locus_63153_Transcript_1/1_Confidence_1.000_Length_907 transcribed RNA sequence
Unigene0053389	GBRZ01030384.1	100.000	29	0	0	379	407	101	73	6.35e-07	54.7	GBRZ01030384.1 TSA: Symbiodinium sp. B2 Locus_71183_Transcript_1/1_Confidence_1.000_Length_353 transcribed RNA sequence
Unigene0055782	GBRZ01023302.1	100.000	36	0	0	1	36	205	240	7.12e-11	67.6	GBRZ01023302.1 TSA: Symbiodinium sp. B2 Locus_12349_Transcript_1/2_Confidence_1.000_Length_403 transcribed RNA sequence
Unigene0070671	GBRZ01084036.1	100.000	29	0	0	192	220	31	59	3.06e-07	54.7	GBRZ01084036.1 TSA: Symbiodinium sp. B2 Locus_93942_Transcript_1/1_Confidence_1.000_Length_203 transcribed RNA sequence
Unigene0072534	GBRZ01035204.1	100.000	30	0	0	1483	1512	202	231	7.01e-07	56.5	GBRZ01035204.1 TSA: Symbiodinium sp. B2 Locus_51345_Transcript_1/1_Confidence_1.000_Length_328 transcribed RNA sequence
Unigene0077571	GBRZ01044293.1	100.000	28	0	0	130	157	248	275	9.15e-07	52.8	GBRZ01044293.1 TSA: Symbiodinium sp. B2 Locus_31803_Transcript_1/1_Confidence_1.000_Length_291 transcribed RNA sequence
Unigene0082725	GBRZ01002068.1	100.000	28	0	0	759	786	724	697	8.25e-06	52.8	GBRZ01002068.1 TSA: Symbiodinium sp. B2 Locus_22948_Transcript_1/1_Confidence_1.000_Length_1113 transcribed RNA sequence
Unigene0086588	GBRZ01069404.1	100.000	28	0	0	374	401	107	134	7.33e-06	52.8	GBRZ01069404.1 TSA: Symbiodinium sp. B2 Locus_109048_Transcript_1/1_Confidence_1.000_Length_228 transcribed RNA sequence
Unigene0095510	GBRZ01046287.1	100.000	28	0	0	1045	1072	52	79	7.43e-06	52.8	GBRZ01046287.1 TSA: Symbiodinium sp. B2 Locus_66299_Transcript_1/1_Confidence_1.000_Length_284 transcribed RNA sequence
Unigene0097023	GBRZ01025227.1	100.000	28	0	0	406	433	309	282	4.30e-06	52.8	GBRZ01025227.1 TSA: Symbiodinium sp. B2 Locus_70259_Transcript_1/1_Confidence_1.000_Length_387 transcribed RNA sequence
Unigene0099378	GBRZ01018443.1	100.000	28	0	0	1357	1384	110	83	8.41e-06	52.8	GBRZ01018443.1 TSA: Symbiodinium sp. B2 Locus_81851_Transcript_1/1_Confidence_1.000_Length_450 transcribed RNA sequence
Unigene0100859	GBRZ01042769.1	100.000	28	0	0	390	417	157	184	1.98e-06	52.8	GBRZ01042769.1 TSA: Symbiodinium sp. B2 Locus_84191_Transcript_1/1_Confidence_1.000_Length_296 transcribed RNA sequence
Unigene0109891	GBRZ01008800.1	100.000	30	0	0	421	450	602	573	1.27e-07	56.5	GBRZ01008800.1 TSA: Symbiodinium sp. B2 Locus_234_Transcript_1/2_Confidence_1.000_Length_628 transcribed RNA sequence
Unigene0120265	GBRZ01027869.1	100.000	34	0	0	2	35	56	23	2.96e-09	63.9	GBRZ01027869.1 TSA: Symbiodinium sp. B2 Locus_112633_Transcript_1/1_Confidence_1.000_Length_369 transcribed RNA sequence
Unigene0120266	GBRZ01027869.1	100.000	30	0	0	1266	1295	24	53	4.30e-07	56.5	GBRZ01027869.1 TSA: Symbiodinium sp. B2 Locus_112633_Transcript_1/1_Confidence_1.000_Length_369 transcribed RNA sequence
Unigene0121300	GBRZ01037824.1	100.000	37	0	0	520	556	226	190	2.04e-11	69.4	GBRZ01037824.1 TSA: Symbiodinium sp. B2 Locus_34372_Transcript_1/1_Confidence_1.000_Length_316 transcribed RNA sequence
Unigene0131639	GBRZ01021315.1	100.000	29	0	0	1361	1389	62	34	1.46e-06	54.7	GBRZ01021315.1 TSA: Symbiodinium sp. B2 Locus_25847_Transcript_1/1_Confidence_1.000_Length_421 transcribed RNA sequence
Unigene0135962	GBRZ01011892.1	100.000	551	0	0	2096	2646	1	551	0.0	1018	GBRZ01011892.1 TSA: Symbiodinium sp. B2 Locus_63289_Transcript_1/1_Confidence_1.000_Length_551 transcribed RNA sequence
Unigene0145707	GBRZ01002330.1	100.000	31	0	0	2741	2771	493	523	2.62e-07	58.4	GBRZ01002330.1 TSA: Symbiodinium sp. B2 Locus_30455_Transcript_1/1_Confidence_1.000_Length_1065 transcribed RNA sequence
Unigene0147435	GBRZ01008861.1	100.000	32	0	0	406	437	503	534	1.05e-08	60.2	GBRZ01008861.1 TSA: Symbiodinium sp. B2 Locus_27421_Transcript_1/1_Confidence_1.000_Length_626 transcribed RNA sequence
Unigene0156749	GBRZ01007902.1	100.000	35	0	0	370	404	329	363	3.02e-10	65.8	GBRZ01007902.1 TSA: Symbiodinium sp. B2 Locus_42412_Transcript_1/1_Confidence_1.000_Length_657 transcribed RNA sequence
Unigene0161754	GBRZ01023194.1	100.000	28	0	0	1	28	230	257	1.12e-06	52.8	GBRZ01023194.1 TSA: Symbiodinium sp. B2 Locus_104366_Transcript_1/1_Confidence_1.000_Length_404 transcribed RNA sequence
Unigene0170316	GBRZ01008975.1	100.000	31	0	0	353	383	225	195	1.63e-07	58.4	GBRZ01008975.1 TSA: Symbiodinium sp. B2 Locus_3244_Transcript_1/1_Confidence_1.000_Length_622 transcribed RNA sequence
Unigene0193234	GBRZ01017157.1	100.000	29	0	0	538	566	140	112	2.32e-06	54.7	GBRZ01017157.1 TSA: Symbiodinium sp. B2 Locus_84419_Transcript_1/1_Confidence_1.000_Length_465 transcribed RNA sequence
Unigene0193818	GBRZ01024948.1	100.000	28	0	0	652	679	283	310	5.02e-06	52.8	GBRZ01024948.1 TSA: Symbiodinium sp. B2 Locus_7185_Transcript_1/1_Confidence_1.000_Length_389 transcribed RNA sequence
