qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
Unigene0056179	Skav202347	100	51	0	0	3	53	80	130	3.30E-18	95.3	Unigene0056179
Unigene0078667	Skav202621	100	49	0	0	1	49	4	52	3.00E-17	91.6	Unigene0078667
Unigene0111008	Skav205933	100	35	0	0	359	393	6483	6449	1.69E-09	65.8	Unigene0111008
Unigene0018773	Skav206715	100	31	0	0	37	67	567	597	1.83E-07	58.4	Unigene0018773
Unigene0063532	Skav212012	100	30	0	0	184	213	3087	3058	1.87E-06	56.5	Unigene0063532
Unigene0073493	Skav213969	100	37	0	0	88	124	731	695	9.51E-11	69.4	Unigene0073493
Unigene0058672	Skav215977	100	29	0	0	283	311	14	42	2.94E-06	54.7	Unigene0058672
Unigene0207095	Skav217049	100	36	0	0	1	36	247	212	9.63E-10	67.6	Unigene0207095
Unigene0027798	Skav217299	100	29	0	0	499	527	1105	1077	3.75E-06	54.7	Unigene0027798
Unigene0072805	Skav217614	100	32	0	0	1	32	1922	1953	2.44E-08	60.2	Unigene0072805
Unigene0052170	Skav218811	100	29	0	0	406	434	380	352	3.37E-06	54.7	Unigene0052170
Unigene0160876	Skav218822	100	30	0	0	1072	1101	1926	1897	2.78E-06	56.5	Unigene0160876
Unigene0075454	Skav218868	100	32	0	0	166	197	14	45	1.63E-07	60.2	Unigene0075454
Unigene0061976	Skav221161	100	32	0	0	877	908	1162	1131	1.21E-07	60.2	Unigene0061976
Unigene0073691	Skav222449	100	34	0	0	504	537	1189	1222	6.09E-09	63.9	Unigene0073691
Unigene0043851	Skav223367	100	29	0	0	180	208	1993	1965	2.23E-06	54.7	Unigene0043851
Unigene0062322	Skav225031	100	35	0	0	234	268	2130	2096	7.87E-10	65.8	Unigene0062322
Unigene0053900	Skav229258	100	48	0	0	109	156	2552	2505	5.03E-17	89.8	Unigene0053900
Unigene0051101	Skav229378	100	36	0	0	441	476	1305	1270	3.80E-10	67.6	Unigene0051101
Unigene0066048	Skav229874	100	29	0	0	559	587	852	880	6.27E-06	54.7	Unigene0066048
Unigene0094640	Skav230180	100	32	0	0	5	36	3481	3450	1.06E-07	60.2	Unigene0094640
Unigene0125475	Skav231169	100	29	0	0	745	773	373	345	4.94E-06	54.7	Unigene0125475
Unigene0136394	Skav231710	100	31	0	0	65	95	128	158	1.59E-07	58.4	Unigene0136394
Unigene0133827	Skav231950	100	31	0	0	73	103	549	519	1.20E-07	58.4	Unigene0133827
Unigene0063271	Skav234934	100	28	0	0	128	155	1	28	3.58E-06	52.8	Unigene0063271
Unigene0151564	Skav236261	100	34	0	0	212	245	1114	1081	2.11E-09	63.9	Unigene0151564
Unigene0164582	Skav214640	98.816	1098	13	0	1	1098	36	1133	0	1956	Unigene0164582
Unigene0053587	Skav229628	98.611	72	1	0	257	328	1236	1307	1.82E-28	128	Unigene0053587
Unigene0070227	Skav236074	98.592	426	6	0	1	426	38	463	0	754	Unigene0070227
Unigene0074631	Skav214471	98.551	69	1	0	316	384	690	758	5.56E-27	122	Unigene0074631
Unigene0007666	Skav223960	98.485	66	1	0	68	133	472	407	2.37E-25	117	Unigene0007666
Unigene0086277	Skav221772	98.182	55	1	0	186	240	508	454	4.28E-19	97.1	Unigene0086277
Unigene0087227	Skav232509	98.148	54	1	0	134	187	929	876	7.39E-19	95.3	Unigene0087227
Unigene0084128	Skav209816	98.113	53	1	0	668	720	539	591	8.49E-18	93.5	Unigene0084128
Unigene0062035	Skav234281	98.113	53	1	0	250	302	448	396	6.45E-18	93.5	Unigene0062035
Unigene0065496	Skav227246	98.077	52	1	0	1	52	927	876	9.43E-18	91.6	Unigene0065496
Unigene0040332	Skav211851	97.826	46	1	0	1	46	153	198	3.11E-14	80.5	Unigene0040332
Unigene0094996	Skav223093	97.826	46	1	0	736	781	712	757	8.41E-14	80.5	Unigene0094996
Unigene0082805	Skav235813	97.826	46	1	0	446	491	1259	1304	8.61E-14	80.5	Unigene0082805
Unigene0054911	Skav218215	97.727	44	1	0	136	179	758	715	2.38E-12	76.8	Unigene0054911
Unigene0068311	Skav230360	97.727	44	1	0	147	190	173	130	4.39E-13	76.8	Unigene0068311
Unigene0075968	Skav206548	97.674	43	1	0	262	304	727	685	2.06E-12	75	Unigene0075968
Unigene0052131	Skav231600	97.619	42	1	0	338	379	2625	2666	6.35E-12	73.1	Unigene0052131
Unigene0047420	Skav233210	97.561	41	1	0	187	227	41	81	5.94E-11	71.3	Unigene0047420
Unigene0018602	Skav214913	97.5	40	1	0	232	271	898	859	1.30E-10	69.4	Unigene0018602
Unigene0042466	Skav222070	97.5	40	0	1	295	334	1439	1401	2.93E-10	67.6	Unigene0042466
Unigene0160740	Skav228106	97.461	1221	31	0	1	1221	1221	1	0	2084	Unigene0160740
Unigene0067176	Skav209543	97.368	38	1	0	94	131	557	594	2.24E-09	65.8	Unigene0067176
Unigene0097980	Skav212195	97.368	38	1	0	55	92	1621	1584	1.24E-09	65.8	Unigene0097980
Unigene0117021	Skav216681	97.297	37	1	0	1485	1521	187	151	1.52E-08	63.9	Unigene0117021
Unigene0040183	Skav224910	97.297	37	1	0	32	68	143	179	2.23E-09	63.9	Unigene0040183
Unigene0051521	Skav234182	97.26	73	2	0	385	457	931	1003	2.93E-27	124	Unigene0051521
Unigene0084658	Skav227359	97.222	36	1	0	176	211	4470	4505	1.20E-08	62.1	Unigene0084658
Unigene0040537	Skav228374	97.222	36	1	0	1	36	524	489	7.19E-09	62.1	Unigene0040537
Unigene0086435	Skav235488	97.183	71	2	0	98	168	580	510	6.92E-26	121	Unigene0086435
Unigene0065010	Skav206869	97.143	70	2	0	169	238	776	845	9.07E-26	119	Unigene0065010
Unigene0068013	Skav210437	97.143	35	1	0	244	278	499	465	8.50E-08	60.2	Unigene0068013
Unigene0117158	Skav232693	97.143	35	1	0	586	620	135	101	1.42E-07	60.2	Unigene0117158
Unigene0073075	Skav204933	97.059	34	1	0	39	72	104	137	1.99E-07	58.4	Unigene0073075
Unigene0043885	Skav208469	97.059	34	0	1	973	1005	778	745	2.26E-06	56.5	Unigene0043885
Unigene0055482	Skav200881	97.002	567	11	1	1	567	143	703	0	948	Unigene0055482
Unigene0051869	Skav221667	96.97	33	1	0	487	519	1598	1630	1.30E-06	56.5	Unigene0051869
Unigene0084416	Skav229813	96.923	65	2	0	75	139	1822	1758	2.35E-23	110	Unigene0084416
Unigene0158554	Skav209222	96.875	32	1	0	718	749	816	847	8.61E-06	54.7	Unigene0158554
Unigene0017096	Skav211297	96.774	62	2	0	1135	1196	454	515	7.86E-21	104	Unigene0017096
Unigene0074854	Skav235074	96.739	92	3	0	624	715	823	914	4.97E-36	154	Unigene0074854
Unigene0059221	Skav229744	96.667	60	1	1	240	298	142	83	7.60E-20	99	Unigene0059221
Unigene0120625	Skav209062	96.61	59	2	0	16	74	108	50	1.28E-19	99	Unigene0120625
Unigene0016182	Skav225713	96.61	59	2	0	192	250	381	439	8.90E-20	99	Unigene0016182
Unigene0055083	Skav223167	96.429	56	2	0	1	56	1136	1191	6.81E-18	93.5	Unigene0055083
Unigene0016701	Skav225102	96.429	56	2	0	1	56	404	459	1.45E-17	93.5	Unigene0016701
Unigene0110278	Skav214905	96.305	406	15	0	1	406	633	228	0	667	Unigene0110278
Unigene0047577	Skav218145	96.296	54	2	0	1787	1840	207	154	3.52E-16	89.8	Unigene0047577
Unigene0100172	Skav225421	96.296	54	2	0	94	147	233	180	5.74E-17	89.8	Unigene0100172
Unigene0140789	Skav208428	96.25	80	3	0	135	214	307	386	1.67E-29	132	Unigene0140789
Unigene0096311	Skav212140	96.203	79	3	0	71	149	814	736	1.27E-29	130	Unigene0096311
Unigene0028837	Skav217241	96.19	105	4	0	156	260	254	150	4.37E-42	172	Unigene0028837
Unigene0077218	Skav220558	96.154	52	2	0	652	703	598	547	1.55E-15	86.1	Unigene0077218
Unigene0054331	Skav222900	96.154	52	1	1	1256	1307	2151	2101	1.99E-14	84.2	Unigene0054331
Unigene0086221	Skav225582	96.154	52	2	0	352	403	1050	999	7.91E-16	86.1	Unigene0086221
Unigene0051448	Skav201972	96.053	76	3	0	19	94	2262	2187	4.34E-27	124	Unigene0051448
Unigene0077796	Skav205995	96	50	2	0	178	227	1045	1094	6.55E-15	82.4	Unigene0077796
Unigene0144463	Skav220042	96	150	6	0	1	150	432	283	9.13E-64	244	Unigene0144463
Unigene0098010	Skav227306	96	50	2	0	97	146	793	744	2.00E-14	82.4	Unigene0098010
Unigene0089737	Skav224917	95.946	148	6	0	1626	1773	283	136	7.16E-62	241	Unigene0089737
Unigene0064492	Skav207451	95.918	49	2	0	119	167	424	472	3.54E-14	80.5	Unigene0064492
Unigene0054271	Skav213208	95.918	49	2	0	630	678	575	527	6.92E-14	80.5	Unigene0054271
Unigene0062933	Skav236048	95.918	49	2	0	38	86	1	49	1.17E-13	80.5	Unigene0062933
Unigene0056610	Skav231001	95.876	97	4	0	182	278	560	464	1.77E-37	158	Unigene0056610
Unigene0052359	Skav200392	95.833	48	2	0	150	197	303	350	4.94E-13	78.7	Unigene0052359
Unigene0067152	Skav214972	95.833	48	2	0	86	133	1233	1280	1.01E-13	78.7	Unigene0067152
Unigene0146140	Skav217157	95.833	72	3	0	577	648	404	333	9.32E-25	117	Unigene0146140
Unigene0080659	Skav220016	95.833	72	3	0	3	74	1	72	2.98E-25	117	Unigene0080659
Unigene0151718	Skav223634	95.792	499	19	2	1	498	22	519	0	804	Unigene0151718
Unigene0043083	Skav235877	95.775	71	3	0	589	659	979	1049	5.70E-24	115	Unigene0043083
Unigene0068282	Skav224993	95.745	47	2	0	331	377	405	451	1.84E-12	76.8	Unigene0068282
Unigene0072983	Skav235772	95.745	47	2	0	43	89	1648	1694	3.67E-13	76.8	Unigene0072983
Unigene0088173	Skav236679	95.745	47	2	0	1	47	1024	1070	4.54E-13	76.8	Unigene0088173
Unigene0064043	Skav224260	95.714	140	6	0	1	140	45	184	2.69E-57	226	Unigene0064043
Unigene0097335	Skav207338	95.652	46	2	0	62	107	1112	1067	1.49E-12	75	Unigene0097335
Unigene0109616	Skav217025	95.652	69	3	0	2176	2244	1226	1158	8.95E-23	111	Unigene0109616
Unigene0083246	Skav217137	95.652	46	0	1	197	242	1882	1839	3.66E-12	73.1	Unigene0083246
Unigene0086866	Skav226046	95.652	69	3	0	49	117	1	69	1.13E-23	111	Unigene0086866
Unigene0085725	Skav236812	95.556	45	2	0	1	45	1191	1147	7.64E-12	73.1	Unigene0085725
Unigene0025345	Skav228751	95.487	842	38	0	1	842	941	1782	0	1345	Unigene0025345
Unigene0052637	Skav200161	95.455	66	3	0	1424	1489	1703	1638	2.57E-21	106	Unigene0052637
Unigene0146370	Skav204722	95.455	44	2	0	922	965	872	829	9.17E-11	71.3	Unigene0146370
Unigene0086596	Skav209753	95.455	66	3	0	364	429	248	183	8.00E-22	106	Unigene0086596
Unigene0055870	Skav211842	95.455	88	4	0	352	439	135	222	2.30E-32	141	Unigene0055870
Unigene0110936	Skav224485	95.455	66	3	0	163	228	964	1029	1.11E-21	106	Unigene0110936
Unigene0054190	Skav233031	95.385	65	3	0	259	323	1155	1091	2.03E-21	104	Unigene0054190
Unigene0017226	Skav234768	95.385	65	3	0	1	65	1528	1464	1.55E-21	104	Unigene0017226
Unigene0041914	Skav210700	95.349	43	2	0	338	380	826	868	8.52E-11	69.4	Unigene0041914
Unigene0137766	Skav206992	95.312	64	3	0	1	64	903	840	8.77E-21	102	Unigene0137766
