qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
Unigene0000162	BGNK01003535.1	100.000	34	0	0	886	919	21979	21946	5.04e-08	63.9	BGNK01003535.1 Symbiodinium sp. clade A Y106 DNA, scaffold3720.1, whole genome shotgun sequence
Unigene0002193	BGNK01001295.1	100.000	33	0	0	8715	8747	63550	63582	1.51e-06	62.1	BGNK01001295.1 Symbiodinium sp. clade A Y106 DNA, scaffold1352.1, whole genome shotgun sequence
Unigene0002307	BGNK01004526.1	100.000	39	0	0	3158	3196	23667	23705	2.35e-10	73.1	BGNK01004526.1 Symbiodinium sp. clade A Y106 DNA, scaffold4772.1, whole genome shotgun sequence
Unigene0006569	BGNK01002177.1	100.000	33	0	0	1803	1835	52091	52059	4.98e-07	62.1	BGNK01002177.1 Symbiodinium sp. clade A Y106 DNA, scaffold2286.1, whole genome shotgun sequence
Unigene0017142	BGNK01002106.1	100.000	47	0	0	718	764	51738	51784	3.71e-15	87.9	BGNK01002106.1 Symbiodinium sp. clade A Y106 DNA, scaffold2207.1, whole genome shotgun sequence
Unigene0018452	BGNK01001554.1	100.000	38	0	0	179	216	46352	46315	1.07e-09	71.3	BGNK01001554.1 Symbiodinium sp. clade A Y106 DNA, scaffold1618.1, whole genome shotgun sequence
Unigene0026344	BGNK01002177.1	100.000	46	0	0	356	401	97712	97667	5.41e-15	86.1	BGNK01002177.1 Symbiodinium sp. clade A Y106 DNA, scaffold2286.1, whole genome shotgun sequence
Unigene0026502	BGNK01005599.1	100.000	30	0	0	213	242	16754	16725	2.58e-06	56.5	BGNK01005599.1 Symbiodinium sp. clade A Y106 DNA, scaffold5937.1, whole genome shotgun sequence
Unigene0026795	BGNK01001076.1	100.000	31	0	0	332	362	82436	82406	9.24e-07	58.4	BGNK01001076.1 Symbiodinium sp. clade A Y106 DNA, scaffold1121.1, whole genome shotgun sequence
Unigene0040484	BGNK01005534.1	100.000	40	0	0	90	129	17884	17923	3.31e-11	75.0	BGNK01005534.1 Symbiodinium sp. clade A Y106 DNA, scaffold5862.1, whole genome shotgun sequence
Unigene0040617	BGNK01000901.1	100.000	33	0	0	84	116	75767	75799	4.00e-08	62.1	BGNK01000901.1 Symbiodinium sp. clade A Y106 DNA, scaffold932.1, whole genome shotgun sequence
Unigene0041104	BGNK01000826.1	100.000	32	0	0	824	855	5277	5246	3.39e-06	60.2	BGNK01000826.1 Symbiodinium sp. clade A Y106 DNA, scaffold855.1, whole genome shotgun sequence
Unigene0041582	BGNK01000124.1	100.000	30	0	0	167	196	195142	195113	8.39e-06	56.5	BGNK01000124.1 Symbiodinium sp. clade A Y106 DNA, scaffold128.1, whole genome shotgun sequence
Unigene0041656	BGNK01000055.1	100.000	34	0	0	1440	1473	399978	399945	1.01e-07	63.9	BGNK01000055.1 Symbiodinium sp. clade A Y106 DNA, scaffold56.1, whole genome shotgun sequence
