qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
Unigene0000162	kb8_rep_c25261	100.000	34	0	0	886	919	2872	2905	3.96e-09	63.9	kb8_rep_c25261
Unigene0009036	kb8_s59801	100.000	28	0	0	373	400	290	263	3.06e-06	52.8	kb8_s59801
Unigene0017876	kb8_rep_c69216	100.000	28	0	0	558	585	248	275	4.32e-06	52.8	kb8_rep_c69216
Unigene0040407	kb8_c20049	100.000	28	0	0	789	816	760	787	8.15e-06	52.8	kb8_c20049
Unigene0041656	kb8_c34424	100.000	39	0	0	1435	1473	149	111	1.32e-11	73.1	kb8_c34424
Unigene0042193	kb8_rep_c5548	100.000	28	0	0	150	177	511	484	1.39e-06	52.8	kb8_rep_c5548
Unigene0045924	kb8_rep_c3299	100.000	29	0	0	192	220	844	816	1.92e-06	54.7	kb8_rep_c3299
Unigene0050800	kb8_c30051	100.000	33	0	0	167	199	669	637	2.55e-08	62.1	kb8_c30051
Unigene0051085	kb8_rep_c10102	100.000	30	0	0	300	329	667	696	1.19e-06	56.5	kb8_rep_c10102
Unigene0055782	kb8_rep_c2531	100.000	36	0	0	1	36	2333	2368	1.38e-10	67.6	kb8_rep_c2531
Unigene0060835	kb8_rep_c46434	100.000	29	0	0	2	30	155	127	6.54e-07	54.7	kb8_rep_c46434
Unigene0066626	kb8_s67245	100.000	29	0	0	1277	1305	30	2	2.83e-06	54.7	kb8_s67245
Unigene0066953	kb8_c15216	100.000	29	0	0	720	748	903	931	1.75e-06	54.7	kb8_c15216
Unigene0068930	kb8_rep_c3472	100.000	33	0	0	45	77	1750	1782	1.63e-08	62.1	kb8_rep_c3472
Unigene0076251	kb8_rep_c35748	100.000	29	0	0	57	85	27	55	3.73e-07	54.7	kb8_rep_c35748
Unigene0083138	kb8_c19003	100.000	33	0	0	354	386	812	844	1.45e-08	62.1	kb8_c19003
Unigene0089354	kb8_rep_c8440	100.000	33	0	0	876	908	2177	2145	1.11e-08	62.1	kb8_rep_c8440
Unigene0092578	kb8_rep_c46540	100.000	29	0	0	212	240	165	193	5.68e-07	54.7	kb8_rep_c46540
Unigene0094212	kb8_rep_c4634	100.000	29	0	0	984	1012	899	927	2.17e-06	54.7	kb8_rep_c4634
Unigene0111385	kb8_rep_c6367	100.000	30	0	0	91	120	114	85	3.78e-07	56.5	kb8_rep_c6367
Unigene0113775	kb8_rep_c7043	100.000	30	0	0	363	392	477	506	5.00e-07	56.5	kb8_rep_c7043
Unigene0114153	kb8_c23545	100.000	29	0	0	266	294	1110	1138	1.48e-06	54.7	kb8_c23545
Unigene0118042	kb8_rep_c50500	100.000	31	0	0	332	362	64	34	2.14e-07	58.4	kb8_rep_c50500
Unigene0118043	kb8_rep_c50500	100.000	31	0	0	368	398	64	34	2.20e-07	58.4	kb8_rep_c50500
Unigene0134203	kb8_c13745	100.000	29	0	0	476	504	462	490	6.08e-06	54.7	kb8_c13745
Unigene0134205	kb8_c13745	100.000	30	0	0	72	101	461	490	7.75e-07	56.5	kb8_c13745
Unigene0142528	kb8_rep_c4270	100.000	31	0	0	316	346	281	311	6.36e-08	58.4	kb8_rep_c4270
Unigene0145540	kb8_c18858	100.000	28	0	0	165	192	431	458	2.63e-06	52.8	kb8_c18858
Unigene0153212	kb8_rep_c15643	100.000	34	0	0	1	34	1785	1818	4.63e-09	63.9	kb8_rep_c15643
Unigene0171645	kb8_s67767	100.000	33	0	0	273	305	321	353	1.16e-08	62.1	kb8_s67767
Unigene0176589	kb8_s60881	100.000	45	0	0	87	131	47	3	6.89e-16	84.2	kb8_s60881
Unigene0167562	kb8_rep_c34383	98.387	62	1	0	296	357	805	744	1.47e-23	110	kb8_rep_c34383
Unigene0114431	kb8_rep_c4	97.959	245	5	0	2	246	6398	6154	8.56e-119	425	kb8_rep_c4
Unigene0181067	kb8_c50889	97.917	48	1	0	9	56	201	154	3.05e-15	84.2	kb8_c50889
Unigene0027324	kb8_s60881	97.778	45	1	0	1296	1340	47	3	1.78e-13	78.7	kb8_s60881
Unigene0072656	kb8_c19420	97.619	42	1	0	3959	4000	182	141	2.35e-11	73.1	kb8_c19420
Unigene0093743	kb8_c9107	97.619	42	1	0	1541	1582	1212	1171	1.55e-11	73.1	kb8_c9107
Unigene0135791	kb8_s52977	97.561	41	1	0	167	207	118	158	4.54e-12	71.3	kb8_s52977
Unigene0059038	kb8_rep_c10749	97.297	37	1	0	11	47	535	571	8.29e-10	63.9	kb8_rep_c10749
